,equity
2009-03-17 00:00:00+00:00,65399601.38859792
2009-03-18 00:00:00+00:00,65234243.23838193
2009-03-19 00:00:00+00:00,65347855.724623494
2009-03-20 00:00:00+00:00,65470720.69113549
2009-03-23 00:00:00+00:00,65983161.68139175
2009-03-24 00:00:00+00:00,66007680.98772558
2009-03-25 00:00:00+00:00,65859120.68280517
2009-03-26 00:00:00+00:00,66508440.87472395
2009-03-27 00:00:00+00:00,66832480.53048722
2009-03-30 00:00:00+00:00,66814290.35441372
2009-03-31 00:00:00+00:00,67481939.32345206
2009-04-01 00:00:00+00:00,67038759.43012176
2009-04-02 00:00:00+00:00,67231940.11334828
2009-04-03 00:00:00+00:00,39245484.00049822
2009-04-06 00:00:00+00:00,67283753.69574708
2009-04-07 00:00:00+00:00,39245484.00049822
2009-04-08 00:00:00+00:00,67809201.93302615
2009-04-09 00:00:00+00:00,67682516.44810952
2009-04-13 00:00:00+00:00,67628609.75888576
2009-04-14 00:00:00+00:00,42109729.12328078
2009-04-15 00:00:00+00:00,68005612.65850548
2009-04-16 00:00:00+00:00,68050322.21227352
2009-04-17 00:00:00+00:00,68218150.82238536
2009-04-20 00:00:00+00:00,68135323.50150806
2009-04-21 00:00:00+00:00,68327598.06488813
2009-04-22 00:00:00+00:00,68170796.50170107
2009-04-23 00:00:00+00:00,68232029.75965194
2009-04-24 00:00:00+00:00,68315006.7207836
2009-04-27 00:00:00+00:00,68235422.51509449
2009-04-28 00:00:00+00:00,68277726.76350452
2009-04-29 00:00:00+00:00,68532714.59828609
2009-04-30 00:00:00+00:00,68510177.2636545
2009-05-01 00:00:00+00:00,63018332.440411404
2009-05-04 00:00:00+00:00,68623423.37500891
2009-05-05 00:00:00+00:00,68606113.69004117
2009-05-06 00:00:00+00:00,68564235.09014283
2009-05-07 00:00:00+00:00,68646915.26641834
2009-05-08 00:00:00+00:00,68708550.7365475
2009-05-11 00:00:00+00:00,68683067.9062736
2009-05-12 00:00:00+00:00,68582148.25969294
2009-05-13 00:00:00+00:00,68556989.52764772
2009-05-14 00:00:00+00:00,68589375.7471451
2009-05-15 00:00:00+00:00,68800522.3791509
2009-05-18 00:00:00+00:00,71806094.15904744
2009-05-19 00:00:00+00:00,71026305.11088172
2009-05-20 00:00:00+00:00,71379716.70610633
2009-05-21 00:00:00+00:00,71837650.95437986
2009-05-22 00:00:00+00:00,72276855.61293888
2009-05-25 00:00:00+00:00,72988236.05183782
2009-05-26 00:00:00+00:00,72505697.77253945
2009-05-27 00:00:00+00:00,72901919.51096453
2009-05-28 00:00:00+00:00,73042413.66635828
2009-05-29 00:00:00+00:00,73359880.05221267
2009-06-01 00:00:00+00:00,73655948.90855284
2009-06-02 00:00:00+00:00,73785637.48189212
2009-06-03 00:00:00+00:00,73989455.57456967
2009-06-04 00:00:00+00:00,74109049.81218581
2009-06-05 00:00:00+00:00,74325587.12078016
2009-06-08 00:00:00+00:00,74264152.18037385
2009-06-09 00:00:00+00:00,74383640.61245753
2009-06-10 00:00:00+00:00,74509836.31790191
2009-06-11 00:00:00+00:00,74495934.28045192
2009-06-12 00:00:00+00:00,74368576.8391947
2009-06-15 00:00:00+00:00,93031407.7675414
2009-06-16 00:00:00+00:00,93149267.16186915
2009-06-17 00:00:00+00:00,92242449.60905805
2009-06-18 00:00:00+00:00,91548431.23656744
2009-06-19 00:00:00+00:00,91935221.65997079
2009-06-22 00:00:00+00:00,91943406.18994029
2009-06-23 00:00:00+00:00,91780210.59027147
2009-06-24 00:00:00+00:00,92224874.80008742
2009-06-25 00:00:00+00:00,91685821.23687722
2009-06-26 00:00:00+00:00,92377702.7055705
2009-06-29 00:00:00+00:00,92363487.3108493
2009-06-30 00:00:00+00:00,92160949.11471592
2009-07-01 00:00:00+00:00,91851859.06465691
2009-07-02 00:00:00+00:00,92175914.25158827
2009-07-03 00:00:00+00:00,92292357.07464105
2009-07-06 00:00:00+00:00,91670133.59777696
2009-07-07 00:00:00+00:00,92180656.43862839
2009-07-08 00:00:00+00:00,91983328.22633141
2009-07-09 00:00:00+00:00,92194917.35445555
2009-07-10 00:00:00+00:00,92067842.97153182
2009-07-13 00:00:00+00:00,91838221.37320134
2009-07-14 00:00:00+00:00,92019199.39458501
2009-07-15 00:00:00+00:00,92494878.34396107
2009-07-16 00:00:00+00:00,93020486.47954483
2009-07-17 00:00:00+00:00,93477514.8362914
2009-07-20 00:00:00+00:00,93859956.67630664
2009-07-21 00:00:00+00:00,93781255.2290794
2009-07-22 00:00:00+00:00,93686172.68150778
2009-07-23 00:00:00+00:00,94253295.1290148
2009-07-24 00:00:00+00:00,94384952.68671367
2009-07-27 00:00:00+00:00,94443931.96424599
2009-07-28 00:00:00+00:00,94899460.21794364
2009-07-29 00:00:00+00:00,95781391.18158966
2009-07-30 00:00:00+00:00,96232157.86335444
2009-07-31 00:00:00+00:00,95903023.98616771
2009-08-03 00:00:00+00:00,95969969.22911099
2009-08-04 00:00:00+00:00,95966314.15364322
2009-08-05 00:00:00+00:00,95956890.23871516
2009-08-06 00:00:00+00:00,95687078.67938097
2009-08-07 00:00:00+00:00,95364711.64362137
2009-08-10 00:00:00+00:00,94873467.79482344
2009-08-11 00:00:00+00:00,94790907.3048619
2009-08-12 00:00:00+00:00,95136887.75068092
2009-08-13 00:00:00+00:00,96844944.37316813
2009-08-14 00:00:00+00:00,97249979.24717423
2009-08-17 00:00:00+00:00,95601184.75878763
2009-08-18 00:00:00+00:00,96523957.71628237
2009-08-19 00:00:00+00:00,95919091.16575523
2009-08-20 00:00:00+00:00,96553578.53234671
2009-08-21 00:00:00+00:00,97518627.02959526
2009-08-24 00:00:00+00:00,98333498.60452662
2009-08-25 00:00:00+00:00,98439389.10660493
2009-08-26 00:00:00+00:00,98193753.46149588
2009-08-27 00:00:00+00:00,97990562.5566765
2009-08-28 00:00:00+00:00,98218629.93911116
2009-08-31 00:00:00+00:00,98331112.68379296
2009-09-01 00:00:00+00:00,99299136.37102298
2009-09-02 00:00:00+00:00,99638022.72944325
2009-09-03 00:00:00+00:00,100209615.07676405
2009-09-04 00:00:00+00:00,101073628.0058115
2009-09-07 00:00:00+00:00,102214629.75173582
2009-09-08 00:00:00+00:00,101562306.46735169
2009-09-09 00:00:00+00:00,100817616.17516959
2009-09-10 00:00:00+00:00,116598645.16323607
2009-09-11 00:00:00+00:00,117049572.8394926
2009-09-14 00:00:00+00:00,117444075.5565558
2009-09-15 00:00:00+00:00,119328579.20834324
2009-09-16 00:00:00+00:00,120622708.39000931
2009-09-17 00:00:00+00:00,121007944.14421482
2009-09-18 00:00:00+00:00,121218429.37251449
2009-09-21 00:00:00+00:00,56525909.69045902
2009-09-22 00:00:00+00:00,122300380.95163362
2009-09-23 00:00:00+00:00,121522305.22788298
2009-09-24 00:00:00+00:00,121545003.83236617
2009-09-25 00:00:00+00:00,122143082.5829042
2009-09-28 00:00:00+00:00,56525909.69045902
2009-09-29 00:00:00+00:00,122733761.94142756
2009-09-30 00:00:00+00:00,124356551.228212
2009-10-01 00:00:00+00:00,124794790.47787185
2009-10-02 00:00:00+00:00,62208367.38708814
2009-10-05 00:00:00+00:00,124324088.1898233
2009-10-06 00:00:00+00:00,124689428.66176975
2009-10-07 00:00:00+00:00,124318685.20687403
2009-10-08 00:00:00+00:00,125161083.12249714
2009-10-09 00:00:00+00:00,124618803.90118432
2009-10-12 00:00:00+00:00,125249552.91359624
2009-10-13 00:00:00+00:00,125224668.38221532
2009-10-14 00:00:00+00:00,125823433.97951755
2009-10-15 00:00:00+00:00,125966817.90826738
2009-10-16 00:00:00+00:00,125622279.8994905
2009-10-19 00:00:00+00:00,91050640.56628251
2009-10-20 00:00:00+00:00,125916101.79900166
2009-10-21 00:00:00+00:00,125907106.35821724
2009-10-22 00:00:00+00:00,125712415.2018824
2009-10-23 00:00:00+00:00,126231381.22484407
2009-10-26 00:00:00+00:00,126123240.01274219
2009-10-27 00:00:00+00:00,125641088.28951228
2009-10-28 00:00:00+00:00,125092243.12938155
2009-10-29 00:00:00+00:00,125043712.26096551
2009-10-30 00:00:00+00:00,125098652.02194022
2009-11-02 00:00:00+00:00,99821496.2522871
2009-11-03 00:00:00+00:00,124698580.24660532
2009-11-04 00:00:00+00:00,125123428.79157302
2009-11-05 00:00:00+00:00,125424570.77824229
2009-11-06 00:00:00+00:00,126246859.07771172
2009-11-09 00:00:00+00:00,127085154.53400941
2009-11-10 00:00:00+00:00,126628255.85831608
2009-11-11 00:00:00+00:00,127989054.8649184
2009-11-12 00:00:00+00:00,126912013.91495253
2009-11-13 00:00:00+00:00,127506662.48619995
2009-11-16 00:00:00+00:00,128480256.97847576
2009-11-17 00:00:00+00:00,128794141.17196397
2009-11-18 00:00:00+00:00,128826178.55829544
2009-11-19 00:00:00+00:00,128303669.58547685
2009-11-20 00:00:00+00:00,128772760.22724845
2009-11-23 00:00:00+00:00,129018341.77078268
2009-11-24 00:00:00+00:00,129327054.23654336
2009-11-25 00:00:00+00:00,129592876.85596576
2009-11-26 00:00:00+00:00,129474916.1629077
2009-11-27 00:00:00+00:00,128685731.50616547
2009-11-30 00:00:00+00:00,129539272.01982549
2009-12-01 00:00:00+00:00,130477737.89203978
2009-12-02 00:00:00+00:00,131044234.81200427
2009-12-03 00:00:00+00:00,132351185.48550121
2009-12-04 00:00:00+00:00,131904701.2714595
2009-12-07 00:00:00+00:00,131260501.56182826
2009-12-08 00:00:00+00:00,145395542.99841776
2009-12-09 00:00:00+00:00,145124295.133466
2009-12-10 00:00:00+00:00,145292595.62972426
2009-12-11 00:00:00+00:00,145245770.5863519
2009-12-14 00:00:00+00:00,145280605.6753015
2009-12-15 00:00:00+00:00,144299069.9079492
2009-12-16 00:00:00+00:00,144612292.0601306
2009-12-17 00:00:00+00:00,144889675.14562052
2009-12-18 00:00:00+00:00,144621973.3886792
2009-12-21 00:00:00+00:00,144082224.15667224
2009-12-22 00:00:00+00:00,144427621.68771264
2009-12-23 00:00:00+00:00,146103824.93387616
2009-12-24 00:00:00+00:00,146508957.02577728
2009-12-28 00:00:00+00:00,74177719.56030454
2009-12-29 00:00:00+00:00,146513885.3732037
2009-12-30 00:00:00+00:00,146875857.6372256
2009-12-31 00:00:00+00:00,147448148.47686514
2010-01-04 00:00:00+00:00,148575527.58426547
2010-01-05 00:00:00+00:00,148997432.30216292
2010-01-06 00:00:00+00:00,148839069.13125056
2010-01-07 00:00:00+00:00,147467879.19038728
2010-01-08 00:00:00+00:00,147759899.68850031
2010-01-11 00:00:00+00:00,148243202.7702578
2010-01-12 00:00:00+00:00,148083452.87841177
2010-01-13 00:00:00+00:00,147778597.4579654
2010-01-14 00:00:00+00:00,148664769.8513225
2010-01-15 00:00:00+00:00,149002433.4077816
2010-01-18 00:00:00+00:00,149186930.51725385
2010-01-19 00:00:00+00:00,148824930.9567086
2010-01-20 00:00:00+00:00,149091182.4566572
2010-01-21 00:00:00+00:00,148041008.9313698
2010-01-22 00:00:00+00:00,148183006.75892112
2010-01-25 00:00:00+00:00,146128386.97697586
2010-01-26 00:00:00+00:00,91771150.16129431
2010-01-27 00:00:00+00:00,143128873.1421706
2010-01-28 00:00:00+00:00,144010059.13845268
2010-01-29 00:00:00+00:00,143955714.81246406
2010-02-01 00:00:00+00:00,144146779.90662864
2010-02-02 00:00:00+00:00,143632535.25452772
2010-02-03 00:00:00+00:00,144745900.39323387
2010-02-04 00:00:00+00:00,143976993.65466002
2010-02-05 00:00:00+00:00,142868668.65831313
2010-02-06 00:00:00+00:00,108044191.6858393
2010-02-08 00:00:00+00:00,143234323.9309231
2010-02-09 00:00:00+00:00,143533450.92944843
2010-02-10 00:00:00+00:00,143214452.17247704
2010-02-11 00:00:00+00:00,143577873.23463482
2010-02-12 00:00:00+00:00,108044191.6858393
2010-02-15 00:00:00+00:00,143767889.63766718
2010-02-16 00:00:00+00:00,144081136.16838962
2010-02-17 00:00:00+00:00,145079713.02577487
2010-02-18 00:00:00+00:00,144719467.25626367
2010-02-19 00:00:00+00:00,144296621.14076054
2010-02-22 00:00:00+00:00,144190342.82890007
2010-02-23 00:00:00+00:00,143693502.07194912
2010-02-24 00:00:00+00:00,143692381.48978457
2010-02-25 00:00:00+00:00,143294548.56325087
2010-02-26 00:00:00+00:00,144309931.92098323
2010-03-01 00:00:00+00:00,113493199.25995679
2010-03-02 00:00:00+00:00,145380981.44477388
2010-03-03 00:00:00+00:00,146465969.0283802
2010-03-04 00:00:00+00:00,146340989.40344128
2010-03-05 00:00:00+00:00,146647876.11288726
2010-03-08 00:00:00+00:00,166257950.28565454
2010-03-09 00:00:00+00:00,165447088.6695252
2010-03-10 00:00:00+00:00,164985849.08409354
2010-03-11 00:00:00+00:00,164161998.0893364
2010-03-12 00:00:00+00:00,165462366.79370683
2010-03-15 00:00:00+00:00,164852688.5471004
2010-03-16 00:00:00+00:00,166060948.49437517
2010-03-17 00:00:00+00:00,166968031.01973435
2010-03-18 00:00:00+00:00,166760818.09348804
2010-03-19 00:00:00+00:00,167284397.1377956
2010-03-22 00:00:00+00:00,165986733.7697249
2010-03-23 00:00:00+00:00,166377991.83558068
2010-03-24 00:00:00+00:00,91616696.3428134
2010-03-25 00:00:00+00:00,166954271.46182534
2010-03-26 00:00:00+00:00,168117006.71585733
2010-03-29 00:00:00+00:00,168356888.53246403
2010-03-30 00:00:00+00:00,167573875.02093986
2010-03-31 00:00:00+00:00,168171885.5297505
2010-04-01 00:00:00+00:00,168590912.53978518
2010-04-05 00:00:00+00:00,169843649.57023683
2010-04-06 00:00:00+00:00,169012212.21396303
2010-04-07 00:00:00+00:00,169099690.17439726
2010-04-08 00:00:00+00:00,168416626.87770283
2010-04-09 00:00:00+00:00,168755999.4904262
2010-04-12 00:00:00+00:00,168648527.04969752
2010-04-13 00:00:00+00:00,169253706.00207594
2010-04-14 00:00:00+00:00,104274159.27825657
2010-04-15 00:00:00+00:00,168851283.19330925
2010-04-16 00:00:00+00:00,168822094.44011444
2010-04-19 00:00:00+00:00,168384154.91682997
2010-04-20 00:00:00+00:00,169481027.89564526
2010-04-21 00:00:00+00:00,170906846.73022828
2010-04-22 00:00:00+00:00,170660635.1327704
2010-04-23 00:00:00+00:00,171031857.8439272
2010-04-26 00:00:00+00:00,171475526.52868176
2010-04-27 00:00:00+00:00,171825779.35598323
2010-04-28 00:00:00+00:00,170953890.6598177
2010-04-29 00:00:00+00:00,171794322.12596664
2010-04-30 00:00:00+00:00,172542689.8942385
2010-05-03 00:00:00+00:00,172079818.40701285
2010-05-04 00:00:00+00:00,171370400.27544793
